['航天电器', '002025', 257, ['2025-04-07', 51.26, 53.07, '2025-04-09', 55.76, 54.61, '2025-04-10', 54.66, 55.6]]
['老凤祥', '600612', 255, ['2025-04-08', 47.5, 47.98, '2025-04-10', 49.1, 48.63, '2025-04-11', 48.84, 49.15]]
['物产中大', '600704', 253, ['2025-04-08', 4.73, 4.8, '2025-04-10', 4.92, 4.86, '2025-04-11', 4.88, 4.9]]
['烽火通信', '600498', 253, ['2025-03-25', 22.42, 22.59, '2025-03-31', 22.57, 22.5, '2025-04-01', 22.37, 22.65]]
['国睿科技', '600562', 253, ['2025-04-07', 18.62, 19.23, '2025-04-09', 20.05, 19.66, '2025-04-10', 19.73, 20.05]]
['绿地控股', '600606', 252, ['2025-04-08', 1.67, 1.7, '2025-04-09', 1.77, 1.74, '2025-04-11', 1.8, 1.81]]
['中航重机', '600765', 250, ['2025-04-07', 14.62, 15.23, '2025-04-09', 15.89, 15.49, '2025-04-10', 15.87, 15.89]]
['济川药业', '600566', 249, ['2025-04-07', 25.99, 26.76, '2025-04-10', 27.4, 27.01, '2025-04-11', 27.11, 27.22]]
['华安证券', '600909', 247, ['2025-04-09', 5.13, 5.14, '2025-04-10', 5.35, 5.25, '2025-04-11', 5.28, 5.28]]
['上海贝岭', '600171', 246, ['2025-03-25', 33.73, 33.94, '2025-03-31', 34.0, 33.96, '2025-04-01', 34.09, 34.38]]
['盐 田 港', '000088', 246, ['2025-04-07', 4.36, 4.54, '2025-04-09', 4.79, 4.67, '2025-04-10', 4.73, 4.79]]
['广州港', '601228', 244, ['2025-04-07', 3.03, 3.09, '2025-04-09', 3.25, 3.19, '2025-04-10', 3.21, 3.22]]
['九州通', '600998', 243, ['2025-04-07', 4.58, 4.81, '2025-04-10', 4.84, 4.82, '2025-04-11', 4.82, 4.82]]
['航发控制', '000738', 242, ['2025-04-07', 16.78, 17.81, '2025-04-09', 18.58, 17.98, '2025-04-10', 18.52, 18.58]]
['国海证券', '000750', 241, ['2025-04-08', 3.68, 3.77, '2025-04-10', 3.8, 3.79, '2025-04-11', 3.78, 3.78]]
['五矿资本', '600390', 240, ['2025-04-08', 5.2, 5.29, '2025-04-10', 5.45, 5.37, '2025-04-11', 5.35, 5.38]]
['杭叉集团', '603298', 238, ['2025-03-31', 20.83, 21.02, '2025-04-02', 21.48, 21.36, '2025-04-03', 19.64, 21.02]]
['许继电气', '000400', 238, ['2025-04-07', 23.09, 23.46, '2025-04-08', 24.8, 24.19, '2025-04-10', 24.69, 25.0]]
['重庆水务', '601158', 232, ['2025-04-07', 4.68, 4.76, '2025-04-08', 4.91, 4.87, '2025-04-10', 4.93, 4.93]]
['万达电影', '002739', 232, ['2025-04-08', 10.68, 10.77, '2025-04-10', 11.13, 10.95, '2025-04-11', 11.0, 11.07]]
['科博达', '603786', 230, ['2025-03-31', 60.1, 60.35, '2025-04-02', 61.32, 61.28, '2025-04-03', 59.36, 60.42]]
['水井坊', '600779', 229, ['2025-04-07', 45.15, 46.56, '2025-04-10', 47.77, 47.02, '2025-04-11', 47.12, 47.38]]
['中国国贸', '600007', 229, ['2025-04-07', 21.3, 22.01, '2025-04-08', 22.75, 22.66, '2025-04-11', 22.8, 23.0]]
